dataset,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
train,8.862702686502088,0.25673024479685447,0.10000000000000002,2.5673024479685442,-0.08112629494593357
test,1.18559743388563,0.10203429574302825,0.10086153559710773,1.0116274270362602,-0.1384376277495361
train_ml,3.250698884895204,0.15543744153542471,0.08683890834681521,1.789951583852739,-0.0985316368817971
test_ml,0.5881430291945027,0.05916254528357334,0.0701877766143019,0.8429180711719256,-0.13174903813112612
