rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
400,4,20,0.15,2,0.42388239586568477,0.1500025373644102,0.12612342843036764,0.06439151241718077,0.006249888575132312,0.002711168345019983,2.3052381039386347,-0.0028122848737174174,0.023973238625897952,0.0029481137007809632,0.0025534676725401623,1.1545529761292068,-0.003661097941155776
400,4,20,0.15,4,0.42440010861612776,0.1500010363635873,0.12815207311369903,0.05561351647770607,0.005418261783905143,0.002169542353038723,2.4974215305436056,-0.0026499259811305345,0.02283057934636079,0.0028089738598480185,0.0024398924930581437,1.1512695202104053,-0.003713893187373659
400,4,20,0.2,4,0.3864926527340048,0.1999986655818811,0.17660898920636273,0.07521501670009423,0.0072668490658758245,0.002815868468237394,2.5806777368491725,-0.0032399517606741283,0.0303411435095855,0.0037210423340341414,0.00323747744292686,1.1493647136179308,-0.004877797160485285
400,4,20,0.15,3,0.4242687317242506,0.1499999286157364,0.1290755727904372,0.05657467829202867,0.005509625049517908,0.002193327344026606,2.511993964112579,-0.0026883141141069303,0.02273685975912465,0.0027975557322905686,0.002437270462045047,1.1478232620696582,-0.0036377814081542054
200,4,40,0.2,4,0.3859366746290561,0.20000246660261534,0.17249405710739918,0.07400572206831924,0.0071536839747392555,0.002830731042380107,2.5271507139457396,-0.003313854004866766,0.03096976089735226,0.003797116110221488,0.0033114172769360506,1.1466740047134256,-0.005039703025439064
400,4,20,0.2,3,0.38640743335844485,0.20000070690852872,0.17753846698940232,0.07653274813065969,0.00739003124416282,0.0028637337728534564,2.580558051246262,-0.0032723710526678007,0.030235377985744716,0.0037082388482745365,0.003235066985645319,1.146263389515204,-0.0048088331043073754
200,4,40,0.15,4,0.42403363737922506,0.15000182555796915,0.12421699786067286,0.05486146375385714,0.005346723156541611,0.0022006425842762715,2.429619055245173,-0.0026555045549837733,0.02340575432448122,0.002879029026558788,0.0025151796773808396,1.1446613744735883,-0.003880562162514393
400,4,20,0.1,2,0.45800768261978186,0.10000201663167486,0.07880641028269396,0.044045353806092535,0.004312735384544464,0.0019274929334564515,2.2374844076915537,-0.0022210755353023713,0.016442025089677514,0.002028532153309781,0.0017726584432383474,1.1443446203906014,-0.0024726519944461268
400,4,40,0.2,4,0.3860155648652198,0.19999824200647376,0.17386882472479182,0.07353174036129784,0.007109297750727217,0.0028146726774651693,2.5257991125027335,-0.0032724091756481622,0.030839080510305372,0.0037813048267829608,0.003307843828177286,1.14313281496925,-0.005113844029598893
200,4,20,0.15,2,0.4240121579039895,0.14999923400956464,0.12553376830555182,0.063683953119817,0.006183083655239452,0.0026819894098854386,2.3054094219945345,-0.0027787852928932693,0.023574435365189883,0.002899567502609557,0.002538308086704948,1.1423229188752932,-0.003671094303399236
