datetime,portfolio_return
2018-01-01 00:00:00+00:00,0.0
2018-01-02 00:00:00+00:00,0.0
2018-01-03 00:00:00+00:00,-0.00037542861587690424
2018-01-04 00:00:00+00:00,-0.0025082374974224617
2018-01-05 00:00:00+00:00,0.014414740748826566
2018-01-07 00:00:00+00:00,0.00013638241298718717
2018-01-08 00:00:00+00:00,0.0070087019597128205
2018-01-09 00:00:00+00:00,0.008724144544107882
2018-01-10 00:00:00+00:00,0.001318919244148882
2018-01-11 00:00:00+00:00,0.001758832505042923
2018-01-12 00:00:00+00:00,0.012330520869496932
2018-01-14 00:00:00+00:00,0.0002646868545999014
2018-01-15 00:00:00+00:00,-0.0022623652882073062
2018-01-16 00:00:00+00:00,0.0007249197115682657
2018-01-17 00:00:00+00:00,0.008980969569615084
2018-01-18 00:00:00+00:00,0.003629259269658928
2018-01-19 00:00:00+00:00,0.011786948760287205
2018-01-21 00:00:00+00:00,0.0003077145139885438
2018-01-22 00:00:00+00:00,0.008453645457381006
2018-01-23 00:00:00+00:00,0.002931605555296958
2018-01-24 00:00:00+00:00,0.004019830653481249
2018-01-25 00:00:00+00:00,-0.0033026387164988673
2018-01-26 00:00:00+00:00,0.011242747990836527
2018-01-28 00:00:00+00:00,-1.9013507687271985e-05
2018-01-29 00:00:00+00:00,-0.005300494010806517
2018-01-30 00:00:00+00:00,-0.013832689003176716
2018-01-31 00:00:00+00:00,-0.0016891486481879045
2018-02-01 00:00:00+00:00,-0.00018705863365059013
2018-02-02 00:00:00+00:00,-0.010857856143422493
2018-02-04 00:00:00+00:00,-9.767734497337249e-05
2018-02-05 00:00:00+00:00,-0.019054198800115506
2018-02-06 00:00:00+00:00,-0.0035320530242750163
2018-02-07 00:00:00+00:00,0.002031159756158001
2018-02-08 00:00:00+00:00,-0.025616548930034212
2018-02-09 00:00:00+00:00,-0.0035096364848710287
2018-02-11 00:00:00+00:00,-1.8674317525177315e-05
2018-02-12 00:00:00+00:00,0.017069042295085306
2018-02-13 00:00:00+00:00,0.0010419249081491558
2018-02-14 00:00:00+00:00,0.0122928999856317
2018-02-15 00:00:00+00:00,0.007141397635147508
2018-02-16 00:00:00+00:00,0.004323995386275186
2018-02-18 00:00:00+00:00,-3.611161999616341e-05
2018-02-19 00:00:00+00:00,-0.0031599636655123314
2018-02-20 00:00:00+00:00,0.004127180685682745
2018-02-21 00:00:00+00:00,0.005807580841827288
2018-02-22 00:00:00+00:00,-0.0037514752046481996
2018-02-23 00:00:00+00:00,0.007077392158411198
