datetime,portfolio_return_ml
2018-01-01 00:00:00+00:00,0.0
2018-01-02 00:00:00+00:00,0.0
2018-01-03 00:00:00+00:00,-0.0
2018-01-04 00:00:00+00:00,-0.0
2018-01-05 00:00:00+00:00,0.0001870324811683745
2018-01-07 00:00:00+00:00,3.6822168746903294e-06
2018-01-08 00:00:00+00:00,0.00012393885445893842
2018-01-09 00:00:00+00:00,0.00014907038168899506
2018-01-10 00:00:00+00:00,3.5691740086723914e-05
2018-01-11 00:00:00+00:00,4.194123095455719e-05
2018-01-12 00:00:00+00:00,0.0002095588668121996
2018-01-14 00:00:00+00:00,8.161545806426646e-06
2018-01-15 00:00:00+00:00,-6.02779532354945e-05
2018-01-16 00:00:00+00:00,1.1242671618704026e-05
2018-01-17 00:00:00+00:00,0.00015074308003632455
2018-01-18 00:00:00+00:00,7.762299895656297e-05
2018-01-19 00:00:00+00:00,0.00022063020887218106
2018-01-21 00:00:00+00:00,8.91106905844474e-06
2018-01-22 00:00:00+00:00,0.00016902639812958344
2018-01-23 00:00:00+00:00,8.00552900990164e-05
2018-01-24 00:00:00+00:00,8.167667499905056e-05
2018-01-25 00:00:00+00:00,-8.070745645663402e-05
2018-01-26 00:00:00+00:00,0.00018884455963730733
2018-01-28 00:00:00+00:00,-4.916078659939525e-07
2018-01-29 00:00:00+00:00,-9.434781602723699e-05
2018-01-30 00:00:00+00:00,-0.00031531303891067634
2018-01-31 00:00:00+00:00,-5.367310431865235e-05
2018-02-01 00:00:00+00:00,-1.6491097731182121e-06
2018-02-02 00:00:00+00:00,-0.00010143115722341967
2018-02-04 00:00:00+00:00,-2.676387534499202e-06
2018-02-05 00:00:00+00:00,-0.0001909414480770767
2018-02-06 00:00:00+00:00,-0.00011555905466472389
2018-02-07 00:00:00+00:00,2.2212167368457903e-05
2018-02-08 00:00:00+00:00,-0.00015401537899109433
2018-02-09 00:00:00+00:00,-0.00012226954689947763
2018-02-11 00:00:00+00:00,-3.440853972602437e-07
2018-02-12 00:00:00+00:00,0.00037456625265413536
2018-02-13 00:00:00+00:00,4.842497790530973e-05
2018-02-14 00:00:00+00:00,0.00026141138765536454
2018-02-15 00:00:00+00:00,0.0002817552907826724
2018-02-16 00:00:00+00:00,7.716715368176029e-05
2018-02-18 00:00:00+00:00,-7.646360168961706e-07
2018-02-19 00:00:00+00:00,-7.656607004265566e-05
2018-02-20 00:00:00+00:00,9.217125789226212e-05
2018-02-21 00:00:00+00:00,0.0001145231457624528
2018-02-22 00:00:00+00:00,-7.837081751153984e-05
