dataset,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
train,8.856720626375546,0.2566541199071595,0.09999999999999998,2.566541199071595,-0.08182944155908063
test,1.205645284887054,0.10328538270132404,0.10052365763032006,1.0274733842371746,-0.13679314898308448
train_ml,8.418854142295048,0.2509658362086167,0.09944931074011688,2.5235553101463526,-0.09912796157908756
test_ml,1.3143910000388521,0.1099030317198022,0.0937225992597075,1.172641738363,-0.12885367099592854
