metric,run_a,run_b,diff
sharpe,1.0118246847569587,1.0118246847569587,0.0
annual_return,0.10156032963207218,0.10156032963207218,0.0
annual_volatility,0.10037344528362349,0.10037344528362349,0.0
max_drawdown,-0.13021319184471408,-0.13021319184471408,0.0
